Kazakhstan,480.196,669.237,4/7/2020,640,697,6
Greece,390.742,218.243,3/16/2020,,331,4
Liberia,6.428.060.094,-9.429.499.113,3/24/2020,3,3,0
Western Sahara,242.155,-128.858,4/7/2020,4,4,0
Nigeria,9.082,8.6753,3/19/2020,,8,0
Singapore,1.292.405.882,1.038.315.132,4/19/2020,5809,6588,11
Mexico,2.352.252.941,-1.024.552.471,4/28/2020,3760,16752,1569
Uganda,1.365.555.229,322.842.276,4/3/2020,48,48,0
Dominica,15.415,-61.371,4/22/2020,7,16,0
Saint Lucia,139.094,-609.789,5/3/2020,3,18,0
North Macedonia,416.086,217.453,3/12/2020,,7,0
Japan,3.616.867.541,1.382.082.872,4/1/2020,1649,2178,57
Finland,6.229.044.221,2.579.260.143,2/6/2020,,1,0
France,8.031.540.935,-1.840.149.032,3/16/2020,,6650,148
Mongolia,468.625,1.038.467,4/29/2020,28,38,0
Cuba,2.153.015.402,-7.782.009.911,5/5/2020,662,1685,69
Luxembourg,4.981.516.765,6.129.908.824,4/17/2020,2829,3480,72
Chad,154.542,187.322,4/25/2020,31,46,0
Philippines,1.289.563.657,1.218.039.235,4/25/2020,6008,7294,494
Benin,9.3077,2.3158,4/4/2020,14,16,0
Cape Verde,16.510.246,-23.053.298,5/6/2020,151,191,2
Mauritania,210.079,-1.014.510.546,4/4/2020,3,6,1
Canada,5.012.857.329,-8.882.930.329,3/4/2020,,33,0
Belize,1.710.303.044,-8.786.815.652,5/1/2020,3,18,2
United Arab Emirates,2.350.030.547,5.386.795.656,3/18/2020,,113,0
Slovenia,461.512,149.955,3/16/2020,,253,1
Russia,6.125.506.574,1.026.154.519,2/2/2020,,2,0
Iceland,649.631,-190.208,4/6/2020,1096,1562,6
Taiwan,23.7,121,2/17/2020,,22,1
Barbados,131.939,-595.432,4/15/2020,53,73,5
Oman,2.141.695.443,5.612.017.037,4/3/2020,194,252,1
Zimbabwe,-1.903.553.033,2.917.210.569,4/16/2020,19,23,3
Albania,411.533,201.683,3/20/2020,,70,2
Liechtenstein,471.432,9.550.664.615,4/12/2020,23,79,1
Iraq,3.318.380.554,437.358.879,3/12/2020,,71,8
Congo (Brazzaville),-3.573.768.333,15.472.855,4/9/2020,50,60,5
Georgia,423.154,433.569,5/2/2020,367,582,8
Cambodia,1.171.430.441,1.049.287.191,4/21/2020,12,122,0
Ecuador,-18.312,-781.834,3/5/2020,,13,0
Egypt,2.667.575.575,3.066.088.097,3/4/2020,,2,0
